noise_level,planner,trial,success,steps,drift_events
Low (95/2.5/2.5),Dijkstra,0,True,290,10
Low (95/2.5/2.5),Dijkstra,1,True,45,3
Low (95/2.5/2.5),Dijkstra,2,True,38,0
Low (95/2.5/2.5),Dijkstra,3,True,40,0
Low (95/2.5/2.5),Dijkstra,4,False,300,11
Low (95/2.5/2.5),Dijkstra,5,True,43,3
Low (95/2.5/2.5),Dijkstra,6,True,40,3
Low (95/2.5/2.5),Dijkstra,7,False,300,9
Low (95/2.5/2.5),Dijkstra,8,True,46,3
Low (95/2.5/2.5),Dijkstra,9,False,300,8
Low (95/2.5/2.5),Dijkstra,10,True,46,0
Low (95/2.5/2.5),Dijkstra,11,True,39,0
Low (95/2.5/2.5),Dijkstra,12,True,205,10
Low (95/2.5/2.5),Dijkstra,13,True,177,3
Low (95/2.5/2.5),Dijkstra,14,True,296,9
Low (95/2.5/2.5),Dijkstra,15,True,46,1
Low (95/2.5/2.5),Dijkstra,16,True,38,0
Low (95/2.5/2.5),Dijkstra,17,True,38,0
Low (95/2.5/2.5),Dijkstra,18,False,300,10
Low (95/2.5/2.5),Dijkstra,19,True,294,11
Low (95/2.5/2.5),Dijkstra,20,True,38,0
Low (95/2.5/2.5),Dijkstra,21,True,46,1
Low (95/2.5/2.5),Dijkstra,22,True,77,3
Low (95/2.5/2.5),Dijkstra,23,True,46,1
Low (95/2.5/2.5),Dijkstra,24,True,243,11
Low (95/2.5/2.5),Dijkstra,25,True,58,2
Low (95/2.5/2.5),Dijkstra,26,True,49,4
Low (95/2.5/2.5),Dijkstra,27,False,300,11
Low (95/2.5/2.5),Dijkstra,28,False,300,12
Low (95/2.5/2.5),Dijkstra,29,True,48,3
Low (95/2.5/2.5),Dijkstra,30,True,46,2
Low (95/2.5/2.5),Dijkstra,31,True,122,4
Low (95/2.5/2.5),Dijkstra,32,True,40,1
Low (95/2.5/2.5),Dijkstra,33,True,260,14
Low (95/2.5/2.5),Dijkstra,34,True,38,0
Low (95/2.5/2.5),Dijkstra,35,True,39,2
Low (95/2.5/2.5),Dijkstra,36,True,91,2
Low (95/2.5/2.5),Dijkstra,37,True,126,5
Low (95/2.5/2.5),Dijkstra,38,True,113,5
Low (95/2.5/2.5),Dijkstra,39,True,38,0
Low (95/2.5/2.5),Dijkstra,40,True,145,2
Low (95/2.5/2.5),Dijkstra,41,True,40,0
Low (95/2.5/2.5),Dijkstra,42,False,300,9
Low (95/2.5/2.5),Dijkstra,43,True,43,3
Low (95/2.5/2.5),Dijkstra,44,False,300,7
Low (95/2.5/2.5),Dijkstra,45,False,300,8
Low (95/2.5/2.5),Dijkstra,46,False,300,4
Low (95/2.5/2.5),Dijkstra,47,True,84,2
Low (95/2.5/2.5),Dijkstra,48,True,38,0
Low (95/2.5/2.5),Dijkstra,49,True,80,3
Low (95/2.5/2.5),Dijkstra,50,False,300,11
Low (95/2.5/2.5),Dijkstra,51,True,38,0
Low (95/2.5/2.5),Dijkstra,52,True,86,2
Low (95/2.5/2.5),Dijkstra,53,True,40,1
Low (95/2.5/2.5),Dijkstra,54,False,300,4
Low (95/2.5/2.5),Dijkstra,55,True,95,2
Low (95/2.5/2.5),Dijkstra,56,False,300,5
Low (95/2.5/2.5),Dijkstra,57,True,46,1
Low (95/2.5/2.5),Dijkstra,58,False,300,8
Low (95/2.5/2.5),Dijkstra,59,True,40,1
Low (95/2.5/2.5),Dijkstra,60,True,66,6
Low (95/2.5/2.5),Dijkstra,61,True,83,2
Low (95/2.5/2.5),Dijkstra,62,True,187,9
Low (95/2.5/2.5),Dijkstra,63,True,40,1
Low (95/2.5/2.5),Dijkstra,64,True,38,0
Low (95/2.5/2.5),Dijkstra,65,True,70,2
Low (95/2.5/2.5),Dijkstra,66,True,38,0
Low (95/2.5/2.5),Dijkstra,67,True,69,5
Low (95/2.5/2.5),Dijkstra,68,True,44,4
Low (95/2.5/2.5),Dijkstra,69,True,40,0
Low (95/2.5/2.5),Dijkstra,70,True,40,2
Low (95/2.5/2.5),Dijkstra,71,True,182,8
Low (95/2.5/2.5),Dijkstra,72,True,38,0
Low (95/2.5/2.5),Dijkstra,73,True,62,3
Low (95/2.5/2.5),Dijkstra,74,True,38,0
Low (95/2.5/2.5),Dijkstra,75,True,38,2
Low (95/2.5/2.5),Dijkstra,76,False,300,8
Low (95/2.5/2.5),Dijkstra,77,True,38,0
Low (95/2.5/2.5),Dijkstra,78,True,140,2
Low (95/2.5/2.5),Dijkstra,79,True,70,3
Low (95/2.5/2.5),Dijkstra,80,True,40,1
Low (95/2.5/2.5),Dijkstra,81,True,42,2
Low (95/2.5/2.5),Dijkstra,82,True,133,6
Low (95/2.5/2.5),Dijkstra,83,True,40,3
Low (95/2.5/2.5),Dijkstra,84,True,72,6
Low (95/2.5/2.5),Dijkstra,85,True,38,0
Low (95/2.5/2.5),Dijkstra,86,True,39,0
Low (95/2.5/2.5),Dijkstra,87,True,116,5
Low (95/2.5/2.5),Dijkstra,88,True,91,3
Low (95/2.5/2.5),Dijkstra,89,True,69,2
Low (95/2.5/2.5),Dijkstra,90,True,215,11
Low (95/2.5/2.5),Dijkstra,91,True,46,0
Low (95/2.5/2.5),Dijkstra,92,True,38,0
Low (95/2.5/2.5),Dijkstra,93,True,190,4
Low (95/2.5/2.5),Dijkstra,94,False,300,9
Low (95/2.5/2.5),Dijkstra,95,True,233,15
Low (95/2.5/2.5),Dijkstra,96,True,52,3
Low (95/2.5/2.5),Dijkstra,97,True,40,2
Low (95/2.5/2.5),Dijkstra,98,True,107,7
Low (95/2.5/2.5),Dijkstra,99,True,256,12
Low (95/2.5/2.5),Dijkstra,100,True,85,3
Low (95/2.5/2.5),Dijkstra,101,True,41,2
Low (95/2.5/2.5),Dijkstra,102,True,38,0
Low (95/2.5/2.5),Dijkstra,103,True,38,0
Low (95/2.5/2.5),Dijkstra,104,False,300,11
Low (95/2.5/2.5),Dijkstra,105,True,38,0
Low (95/2.5/2.5),Dijkstra,106,True,176,10
Low (95/2.5/2.5),Dijkstra,107,True,217,7
Low (95/2.5/2.5),Dijkstra,108,True,46,1
Low (95/2.5/2.5),Dijkstra,109,True,78,4
Low (95/2.5/2.5),Dijkstra,110,False,300,6
Low (95/2.5/2.5),Dijkstra,111,True,152,5
Low (95/2.5/2.5),Dijkstra,112,True,57,3
Low (95/2.5/2.5),Dijkstra,113,True,113,4
Low (95/2.5/2.5),Dijkstra,114,True,44,3
Low (95/2.5/2.5),Dijkstra,115,True,94,4
Low (95/2.5/2.5),Dijkstra,116,False,300,9
Low (95/2.5/2.5),Dijkstra,117,True,62,2
Low (95/2.5/2.5),Dijkstra,118,False,300,5
Low (95/2.5/2.5),Dijkstra,119,False,300,9
Low (95/2.5/2.5),Dijkstra,120,True,192,10
Low (95/2.5/2.5),Dijkstra,121,True,259,13
Low (95/2.5/2.5),Dijkstra,122,True,39,0
Low (95/2.5/2.5),Dijkstra,123,False,300,6
Low (95/2.5/2.5),Dijkstra,124,True,298,11
Low (95/2.5/2.5),Dijkstra,125,True,146,2
Low (95/2.5/2.5),Dijkstra,126,True,189,7
Low (95/2.5/2.5),Dijkstra,127,True,40,1
Low (95/2.5/2.5),Dijkstra,128,True,134,4
Low (95/2.5/2.5),Dijkstra,129,True,86,2
Low (95/2.5/2.5),Dijkstra,130,False,300,8
Low (95/2.5/2.5),Dijkstra,131,True,64,3
Low (95/2.5/2.5),Dijkstra,132,False,300,11
Low (95/2.5/2.5),Dijkstra,133,True,87,2
Low (95/2.5/2.5),Dijkstra,134,True,40,0
Low (95/2.5/2.5),Dijkstra,135,True,39,2
Low (95/2.5/2.5),Dijkstra,136,True,92,5
Low (95/2.5/2.5),Dijkstra,137,True,46,0
Low (95/2.5/2.5),Dijkstra,138,True,52,2
Low (95/2.5/2.5),Dijkstra,139,True,42,2
Low (95/2.5/2.5),Dijkstra,140,True,55,2
Low (95/2.5/2.5),Dijkstra,141,True,44,2
Low (95/2.5/2.5),Dijkstra,142,True,59,3
Low (95/2.5/2.5),Dijkstra,143,True,285,10
Low (95/2.5/2.5),Dijkstra,144,True,53,3
Low (95/2.5/2.5),Dijkstra,145,True,38,0
Low (95/2.5/2.5),Dijkstra,146,True,88,5
Low (95/2.5/2.5),Dijkstra,147,True,112,6
Low (95/2.5/2.5),Dijkstra,148,True,38,0
Low (95/2.5/2.5),Dijkstra,149,True,51,2
Low (95/2.5/2.5),Dijkstra,150,True,300,12
Low (95/2.5/2.5),Dijkstra,151,False,300,17
Low (95/2.5/2.5),Dijkstra,152,True,87,2
Low (95/2.5/2.5),Dijkstra,153,True,40,1
Low (95/2.5/2.5),Dijkstra,154,False,300,11
Low (95/2.5/2.5),Dijkstra,155,True,40,1
Low (95/2.5/2.5),Dijkstra,156,True,40,1
Low (95/2.5/2.5),Dijkstra,157,True,122,8
Low (95/2.5/2.5),Dijkstra,158,True,127,6
Low (95/2.5/2.5),Dijkstra,159,True,194,12
Low (95/2.5/2.5),Dijkstra,160,True,47,0
Low (95/2.5/2.5),Dijkstra,161,True,38,0
Low (95/2.5/2.5),Dijkstra,162,True,109,5
Low (95/2.5/2.5),Dijkstra,163,True,38,0
Low (95/2.5/2.5),Dijkstra,164,True,46,0
Low (95/2.5/2.5),Dijkstra,165,True,114,7
Low (95/2.5/2.5),Dijkstra,166,False,300,6
Low (95/2.5/2.5),Dijkstra,167,True,261,9
